Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,AcadOrg,Instructor,Capacity,Room,MtgStart,MtgEnd,Days,StartDate,EndDate,Term,Campus,ClassNbr,TotalCredits,DUP,FULL,OVER
BIO,141,D01,DED,8W1,4,4,19,30,STEM,"Abrahams,Shaheem",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35276,76,,,
BIO,142,D01,DED,8W1,4,4,22,30,STEM,"Abrahams,Shaheem",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35278,88,,,
BIO,142,D01L,LAB,8W1,0,0,22,30,STEM,"Abrahams,Shaheem",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35279,0,,,
BIO,142,D02,DED,8W1,4,4,21,30,STEM,"Abrahams,Shaheem",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,40672,84,,,
BIO,142,D02L,LAB,8W1,0,0,21,30,STEM,"Abrahams,Shaheem",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,40673,0,,,
PHY,141,D01,DED,8W1,4,4,12,24,STEM,"Anderson Jr.,William Michael",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35397,48,,,
PHY,141,D01L,LAB,8W1,0,0,12,24,STEM,"Anderson Jr.,William Michael",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35398,0,,,
UMS,107,D01,DED,DYN,3,3,3,16,STEM,"Bellows,Alan S",30,TUAL, , , ,5/9/2022,7/1/2022,2223,MAIN,39680,9,,,
AUT,101,50H,LEC,10W,3,3,5,24,STEM,"Broadley Jr.,Harold Z",24,504,5:30:00 PM,8:30:00 PM,TR,5/16/2022,7/25/2022,2223,MAIN,36934,15,#REF!,,
AUT,236,01H,LEC,10W,4,4,5,24,STEM,"Burge,Mark D",24,504,8:00:00 AM,12:30:00 PM,MW,5/16/2022,7/25/2022,2223,MAIN,35539,20,,,
MDE,10,B40H,LEC,8W1,3,3,3,18,STEM,"Cannon,Tiffany Thomas",28,429,7:00:00 PM,8:15:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,41205,9,,,
MDE,61,DG50,DED,8W1,3,3,4,18,STEM,"Cannon,Tiffany Thomas",30,TUAL,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,38986,12,,,
MDE,61,G40H,LEC,8W1,3,3,1,18,STEM,"Cannon,Tiffany Thomas",28,429,4:00:00 PM,6:45:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,38675,3,,,
ITP,220,DN60,DED,DYN,4,4,1,5,STEM,"Chemerys,Lisa A.",30,TUAL, , , ,5/31/2022,8/8/2022,2223,MAIN,39690,4,,,
MDE,60,D02,DED,8W1,3,3,8,18,STEM,"Collier,Amanda Michelle",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38639,24,,,
GOL,106,D01,DED,8W1,4,4,2,30,STEM,"Coolbear,Kristen M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35385,8,,,
GOL,106,D01L,LAB,8W1,0,0,2,30,STEM,"Coolbear,Kristen M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35386,0,,,
CHM,111,01W,LEC,8W1,4,4,1,24,STEM,"Crowley,Pamela K",24,304,8:00:00 AM,10:50:00 AM,MW,5/23/2022,7/18/2022,2223,HT,35390,4,,,
CHM,111,01WL,LAB,8W1,0,0,1,24,STEM,"Crowley,Pamela K",24,332,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,HT,35391,0,,,
IND,243,X01L,LAB,DYN,3,0,11,12,STEM,"Cruz,Stephanie L",25,NHTC,7:40:00 AM,10:10:00 AM,TR,5/9/2022,6/10/2022,2223,MAIN,39646,0,,,
MEC,155,01HL,LAB,DYN,3,0,4,9,STEM,"Cruz,Stephanie L",25,NHTC,12:00:00 PM,4:00:00 PM,MW,5/9/2022,6/17/2022,2223,MAIN,39673,0,,,
MEC,155,C90L,LAB,DYN,3,0,7,7,STEM,"Cruz,Stephanie L",25,NHTC,12:00:00 PM,4:00:00 PM,MW,5/9/2022,6/17/2022,2223,MAIN,39674,0,,FULL,
MEC,155,D01,DED,DYN,3,3,4,9,STEM,"Cruz,Stephanie L",30,TUAL, , , ,5/9/2022,6/17/2022,2223,MAIN,35442,12,#REF!,,
MEC,155,DC90,DED,DYN,3,3,7,7,STEM,"Cruz,Stephanie L",30,TUAL, , , ,5/9/2022,6/17/2022,2223,MAIN,39672,21,,FULL,
ITE,115,D02,DED,8W1,3,3,3,24,STEM,"Decker,Lloyd",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35420,9,,,
ITE,119,B50H,LEC,8W1,3,3,4,24,STEM,"Decker,Lloyd",25,428,5:30:00 PM,8:15:00 PM,T,5/23/2022,7/18/2022,2223,MAIN,35455,12,,,
MTH,161,D02,DED,8W1,3,3,7,28,STEM,"Delmage,Erin Kathleen",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38725,21,,,
PHY,202,D40,DED,8W1,4,4,7,24,STEM,"Dulli,Hani",30,TUAL,5:30:00 PM,6:45:00 PM,MTWR,5/23/2022,7/18/2022,2223,MAIN,35382,28,,,
PHY,202,D50L,LAB,8W1,0,0,7,24,STEM,"Dulli,Hani",30,TUAL,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35383,0,,,
MTH,161,DG40,DED,8W1,3,3,1,18,STEM,"Edradan,Alberto Omni",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35556,3,,,
MTH,265,D01,DED,8W1,4,4,10,28,STEM,"Edradan,Alberto Omni",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35236,40,,,
BIO,102,D01,DED,8W1,4,4,20,30,STEM,"Evans,Ann S",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35310,80,,,
BIO,102,D01L,LAB,8W1,0,0,20,30,STEM,"Evans,Ann S",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35311,0,,,
MDE,54,DG01,DED,8W1,3,3,6,18,STEM,"Feygelson,Rimma",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38671,18,,,
MTH,154,DG01,DED,8W1,3,3,6,18,STEM,"Feygelson,Rimma",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35550,18,,,
MTH,267,D01,DED,8W1,3,3,7,28,STEM,"Feygelson,Rimma",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35230,21,,,
MTH,154,20W,LEC,8W1,3,3,4,28,STEM,"Filsinger,Michael D",28,235,8:00:00 AM,10:45:00 AM,TR,5/23/2022,7/18/2022,2223,HT,35559,12,,,
MTH,154,40H,LEC,8W1,3,3,2,28,STEM,"Filsinger,Michael D",44,426,4:00:00 PM,6:45:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35551,6,,,
MTH,154,D05,DED,8W1,3,3,4,32,STEM,"Filsinger,Michael D",30,TUAL,11:00:00 AM,1:45:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,39152,12,,,
MTH,263,D01,DED,8W1,4,4,19,28,STEM,"Golub,Tatiana",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35233,76,,,
BIO,142,40H,LEC,8W1,4,4,1,24,STEM,"Guinn,Barbara B",48,421,7:00:00 PM,9:40:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35440,4,,,
BIO,142,50HL,LAB,8W1,0,0,1,24,STEM,"Guinn,Barbara B",24,434,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35441,0,,,
BIO,142,D03L,LAB,8W1,0,0,3,30,STEM,"Guinn,Barbara B",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41517,0,,,
GOL,105,D01,DED,8W1,4,4,10,30,STEM,"Hall,Lisa Todd",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35429,40,,,
GOL,105,D01L,LAB,8W1,0,0,10,30,STEM,"Hall,Lisa Todd",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35430,0,,,
BIO,150,20H,LEC,8W1,4,4,14,24,STEM,"Hardage,Adrianna Ferraioli",28,429,2:00:00 PM,4:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35202,56,,,
BIO,150,20HL,LAB,8W1,0,0,14,24,STEM,"Hardage,Adrianna Ferraioli",24,401,11:00:00 AM,1:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35203,0,,,
BIO,150,D01,DED,8W1,4,4,28,30,STEM,"Hardage,Adrianna Ferraioli",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35250,112,,,
BIO,150,D01L,LAB,8W1,0,0,28,30,STEM,"Hardage,Adrianna Ferraioli",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35251,0,,,
CHM,101,D03,DED,8W1,4,4,4,29,STEM,"Harry,Stephanie Dawn",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41450,16,,,
CHM,101,D03L,LAB,8W1,0,0,4,29,STEM,"Harry,Stephanie Dawn",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41451,0,,,
MTH,245,D01,DED,8W1,3,3,11,28,STEM,"Indika,S H Sathish",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35232,33,,,
MTH,263,D02,DED,8W1,4,4,6,28,STEM,"Indika,S H Sathish",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35212,24,,,
MTH,266,D01,DED,8W1,3,3,4,28,STEM,"Indika,S H Sathish",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35243,12,,,
ITE,115,D01,DED,8W1,3,3,19,24,STEM,"Jones,Doretha",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35221,57,,,
ITE,140,D01,DED,8W1,3,3,9,24,STEM,"Jones,Doretha",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35547,27,,,
MTH,154,D04,DED,8W1,3,3,4,32,STEM,"Kankanamge,Duminda G J",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35552,12,,,
MTH,155,20W,LEC,8W1,3,3,1,24,STEM,"Kelso,Elizabeth Ann",24,304,8:00:00 AM,10:45:00 AM,TR,5/23/2022,7/18/2022,2223,HT,35558,3,,,
MTH,155,D01,DED,8W1,3,3,16,28,STEM,"Kelso,Elizabeth Ann",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35290,48,,,
MTH,161,D01,DED,8W1,3,3,16,28,STEM,"Kelso,Elizabeth Ann",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35223,48,,,
GOL,199,Z01H,LEC,DYN,1,1,0,25,STEM,"Kohrs,Russell Henry",25,NLRC,8:00:00 AM,5:00:00 PM,MTWRF,6/25/2022,7/29/2022,2223,MAIN,35604,0,,,
GOL,199,Z02H,LEC,DYN,1,1,0,25,STEM,"Kohrs,Russell Henry",25,NLRC,8:00:00 AM,5:00:00 PM,MTWRF,6/25/2022,7/29/2022,2223,MAIN,36746,0,,,
PHY,101,D01,DED,8W1,4,4,14,24,STEM,"Kuchina,Elena",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35399,56,,,
PHY,101,D01L,LAB,8W1,0,0,14,24,STEM,"Kuchina,Elena",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35400,0,,,
PHY,201,D01,DED,8W1,4,4,19,24,STEM,"Kuchina,Elena",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35317,76,,,
PHY,201,D01L,LAB,8W1,0,0,19,24,STEM,"Kuchina,Elena",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35318,0,,,
PHY,242,D02L,LAB,8W1,0,0,13,24,STEM,"Kuchina,Elena",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41341,0,,,
CHM,111,D01,DED,5W1,4,4,10,30,STEM,"Mahfouz,Riham M",30,TUAL, , , ,5/16/2022,6/18/2022,2223,MAIN,35502,40,,,
CHM,111,D01L,LAB,5W1,0,0,10,30,STEM,"Mahfouz,Riham M",30,TUAL, , , ,5/16/2022,6/18/2022,2223,MAIN,35503,0,,,
CHM,111,D02L,LAB,8W1,0,0,6,29,STEM,"Mahfouz,Riham M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35434,0,,,
CHM,241,D01,DED,8W1,3,3,10,32,STEM,"Mahfouz,Riham M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35565,30,,,
CHM,242,D01,DED,8W1,3,3,9,26,STEM,"Mahfouz,Riham M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35437,27,,,
ITE,119,B20W,LEC,8W1,3,3,3,24,STEM,"Mann,Michael D",24,232,12:00:00 PM,2:45:00 PM,T,5/23/2022,7/18/2022,2223,HT,35570,9,,,
ITN,156,D01,DED,8W1,4,4,3,24,STEM,"Mann,Michael D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38340,12,,,
ITN,260,D01,DED,8W1,3,3,8,24,STEM,"Mann,Michael D",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35457,24,,,
BIO,141,01W,LEC,8W1,4,4,6,24,STEM,"Marcinkus,Susan Rita",40,328,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,HT,35255,24,,,
BIO,141,01WL,LAB,8W1,0,0,6,24,STEM,"Marcinkus,Susan Rita",24,333,8:00:00 AM,10:50:00 AM,MW,5/23/2022,7/18/2022,2223,HT,35256,0,,,
BIO,141,21H,LEC,8W1,4,4,5,24,STEM,"Marcinkus,Susan Rita",48,421,11:00:00 AM,1:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35293,20,,,
MTH,162,20W,LEC,8W1,3,3,2,32,STEM,"Marple,Christopher R",40,328,8:00:00 AM,10:45:00 AM,TR,5/23/2022,7/18/2022,2223,HT,35225,6,,,
BIO,101,D01,DED,8W1,4,4,21,30,STEM,"Martin,Jennifer M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35268,84,,,
BIO,101,D01L,LAB,8W1,0,0,21,30,STEM,"Martin,Jennifer M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35269,0,,,
BIO,101,D03,DED,8W1,4,4,3,30,STEM,"Martin,Jennifer M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41514,12,,,
BIO,101,D03L,LAB,8W1,0,0,3,30,STEM,"Martin,Jennifer M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41515,0,,,
MTH,154,D01,DED,5W1,3,3,16,28,STEM,"Maule,Amanda Lynne",30,TUAL, , , ,5/16/2022,6/18/2022,2223,MAIN,35553,48,,,
MTH,154,D02,DED,5W2,3,3,6,28,STEM,"Maule,Amanda Lynne",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35554,18,,,
